mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,alpha,heads,experiment,beta,heads_boost,heads_surpress
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((10, 7),)",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((11, 10),)",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((11, 3),)",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((10, 7), (11, 10))",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((10, 7), (11, 3))",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((11, 10), (11, 3))",boost,,,
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,1.0,"((10, 7), (11, 10), (11, 3))",boost,,,
14.456228256225586,16.38579559326172,-1.929567575454712,1.6658622026443481,2.691089153289795,2.6867003440856934,2392.0,7495.0,5.0,"((10, 7),)",boost,,,
13.594148635864258,15.910870552062988,-2.3167219161987305,1.6510944366455078,2.7875819206237793,2.762573003768921,1864.0,8009.0,5.0,"((11, 10),)",boost,,,
13.966662406921387,17.532596588134766,-3.565932512283325,1.67336106300354,2.6885013580322266,2.6637160778045654,421.0,9540.0,5.0,"((11, 3),)",boost,,,
13.8573637008667,14.130377769470215,-0.2730150520801544,1.6660473346710205,2.7022364139556885,2.7291009426116943,5014.0,4614.0,5.0,"((10, 7), (11, 10))",boost,,,
14.439142227172852,16.35759735107422,-1.918454885482788,1.6652233600616455,2.6918370723724365,2.685108184814453,2419.0,7470.0,5.0,"((10, 7), (11, 3))",boost,,,
13.578178405761719,15.880326271057129,-2.302147150039673,1.6508524417877197,2.7919180393218994,2.7615559101104736,1880.0,7989.0,5.0,"((11, 10), (11, 3))",boost,,,
13.83864974975586,14.100289344787598,-0.26164087653160095,1.6656501293182373,2.7047128677368164,2.727965831756592,5042.0,4579.0,5.0,"((10, 7), (11, 10), (11, 3))",boost,,,
14.295340538024902,17.37983512878418,-3.0844969749450684,1.6869828701019287,2.5012857913970947,2.5365078449249268,585.0,9367.0,,"((7, 10),)",surpress,0.0,,
14.301937103271484,17.501670837402344,-3.1997315883636475,1.7113324403762817,2.6650278568267822,2.5804877281188965,613.0,9337.0,,"((9, 9),)",surpress,0.0,,
13.992840766906738,17.67185401916504,-3.6790144443511963,1.7444478273391724,2.708357334136963,2.742359161376953,419.0,9546.0,,"((9, 6),)",surpress,0.0,,
14.532299995422363,17.067745208740234,-2.535445213317871,1.5824791193008423,2.740250825881958,2.5913994312286377,1274.0,8660.0,,"((10, 0),)",surpress,0.0,,
14.697640419006348,17.198020935058594,-2.5003793239593506,1.7352592945098877,2.422640800476074,2.392439603805542,1048.0,8883.0,,"((7, 10), (9, 9))",surpress,0.0,,
14.308892250061035,17.48480224609375,-3.1759109497070312,1.7721736431121826,2.536054849624634,2.6405324935913086,621.0,9340.0,,"((7, 10), (9, 6))",surpress,0.0,,
14.784473419189453,16.91221809387207,-2.1277434825897217,1.617703914642334,2.5599353313446045,2.480468273162842,1658.0,8264.0,,"((7, 10), (10, 0))",surpress,0.0,,
14.301565170288086,17.627138137817383,-3.325571060180664,1.7817602157592773,2.691715955734253,2.6739399433135986,628.0,9329.0,,"((9, 9), (9, 6))",surpress,0.0,,
14.940478324890137,16.935949325561523,-1.995473027229309,1.60824453830719,2.714040517807007,2.4363203048706055,1868.0,8041.0,,"((9, 9), (10, 0))",surpress,0.0,,
14.790459632873535,16.965482711791992,-2.175022602081299,1.6112134456634521,2.800536870956421,2.6458866596221924,1817.0,8098.0,,"((9, 6), (10, 0))",surpress,0.0,,
14.701549530029297,17.32206916809082,-2.6205196380615234,1.81950044631958,2.463758707046509,2.5212314128875732,1106.0,8837.0,,"((7, 10), (9, 9), (9, 6))",surpress,0.0,,
15.271721839904785,16.6407413482666,-1.369017243385315,1.6534982919692993,2.4725146293640137,2.2593014240264893,2819.0,7070.0,,"((7, 10), (9, 9), (10, 0))",surpress,0.0,,
15.06915283203125,16.766883850097656,-1.697729468345642,1.660224199295044,2.6334362030029297,2.5457260608673096,2508.0,7400.0,,"((7, 10), (9, 6), (10, 0))",surpress,0.0,,
15.199148178100586,16.834558486938477,-1.635409951210022,1.6559675931930542,2.781365394592285,2.522773504257202,2608.0,7288.0,,"((9, 9), (9, 6), (10, 0))",surpress,0.0,,
15.558090209960938,16.49128532409668,-0.933194637298584,1.7169886827468872,2.5596747398376465,2.3790433406829834,3878.0,6010.0,,"((7, 10), (9, 9), (9, 6), (10, 0))",surpress,0.0,,
15.385981559753418,12.946009635925293,2.439970016479492,1.7450493574142456,2.7873244285583496,2.7518310546875,7862.0,1591.0,5.0,,combined,0.0,"((10, 7), (11, 10), (11, 3))","((7, 10), (9, 9), (9, 6), (10, 0))"
15.066146850585938,12.857540130615234,2.2086057662963867,1.6855262517929077,2.568035125732422,2.5190935134887695,7738.0,1611.0,5.0,,combined,0.0,"((10, 7), (11, 10), (11, 3))","((7, 10), (9, 9), (10, 0))"
15.020923614501953,13.130342483520508,1.8905824422836304,1.6744346618652344,2.9528276920318604,2.7975001335144043,7435.0,2046.0,5.0,,combined,0.0,"((10, 7), (11, 10), (11, 3))","((9, 9), (9, 6), (10, 0))"
15.410898208618164,12.896769523620605,2.514129877090454,1.7408804893493652,2.849144220352173,2.7913241386413574,7881.0,1579.0,5.0,,combined,0.0,"((10, 7), (11, 10))","((7, 10), (9, 9), (9, 6), (10, 0))"
15.091547012329102,12.849116325378418,2.242429256439209,1.680635929107666,2.595985174179077,2.5267491340637207,7763.0,1591.0,5.0,,combined,0.0,"((10, 7), (11, 10))","((7, 10), (9, 9), (10, 0))"
15.046712875366211,13.077932357788086,1.968780279159546,1.6698379516601562,3.0130701065063477,2.842006206512451,7474.0,2022.0,5.0,,combined,0.0,"((10, 7), (11, 10))","((9, 9), (9, 6), (10, 0))"
